internal_drug_id,source_dataset,source_drug_id,rxcui,mapping_status
DRUG_000612,twosides,CID000005593,10869,HIGH_EXACT
DRUG_000613,drugbank,DB00810,1589,HIGH_EXACT
DRUG_000614,drugbank,DB00811,9344,HIGH_EXACT
DRUG_000614,twosides,CID000005064,9344,HIGH_EXACT
DRUG_000615,drugbank,DB00812,8160,HIGH_EXACT
DRUG_000616,drugbank,DB00813,4337,HIGH_EXACT
DRUG_000616,twosides,CID000003345,4337,HIGH_EXACT
DRUG_000617,drugbank,DB00814,41493,HIGH_EXACT
DRUG_000618,drugbank,DB00816,7688,HIGH_EXACT
DRUG_000619,drugbank,DB00817,35797,HIGH_EXACT
DRUG_000620,drugbank,DB00818,8782,HIGH_EXACT
DRUG_000620,twosides,CID000004943,8782,HIGH_EXACT
DRUG_000621,drugbank,DB00819,167,HIGH_EXACT
DRUG_000621,twosides,CID000001986,167,HIGH_EXACT
DRUG_000622,drugbank,DB00820,358263,HIGH_EXACT
DRUG_000622,twosides,CID000110635,358263,HIGH_EXACT
DRUG_000623,drugbank,DB00821,20343,HIGH_EXACT
DRUG_000624,drugbank,DB00822,3554,HIGH_EXACT
DRUG_000624,twosides,CID000003117,3554,HIGH_EXACT
DRUG_000625,drugbank,DB00823,4170,HIGH_EXACT
DRUG_000626,drugbank,DB00826,7268,HIGH_EXACT
DRUG_000627,drugbank,DB00827,2550,HIGH_EXACT
DRUG_000628,drugbank,DB00828,4550,HIGH_EXACT
DRUG_000629,drugbank,DB00829,3322,HIGH_EXACT
DRUG_000629,twosides,CID000003016,3322,HIGH_EXACT
DRUG_000630,drugbank,DB00830,8133,HIGH_EXACT
DRUG_000631,drugbank,DB00831,10800,HIGH_EXACT
DRUG_000632,drugbank,DB00832,33309,HIGH_EXACT
DRUG_000633,drugbank,DB00833,1450910,HIGH_EXACT
DRUG_000633,twosides,CID000002609,,UNRESOLVED
DRUG_000634,drugbank,DB00834,6964,HIGH_EXACT
DRUG_000635,drugbank,DB00835,1767,HIGH_EXACT
DRUG_000636,drugbank,DB00836,6468,HIGH_EXACT
DRUG_000637,drugbank,DB00837,,UNRESOLVED
DRUG_000638,drugbank,DB00838,21249,HIGH_EXACT
DRUG_000639,drugbank,DB00839,10633,HIGH_EXACT
DRUG_000640,drugbank,DB00841,3616,HIGH_EXACT
DRUG_000640,twosides,CID000036811,3616,HIGH_EXACT
DRUG_000641,drugbank,DB00842,7781,HIGH_EXACT
DRUG_000641,twosides,CID000004616,7781,HIGH_EXACT
DRUG_000642,drugbank,DB00843,135447,HIGH_EXACT
DRUG_000642,twosides,CID000003152,135447,HIGH_EXACT
DRUG_000643,drugbank,DB00844,7238,HIGH_EXACT
DRUG_000643,twosides,CID000004419,7238,HIGH_EXACT
DRUG_000644,drugbank,DB00845,2592,HIGH_EXACT
DRUG_000645,drugbank,DB00846,4500,HIGH_EXACT
DRUG_000646,drugbank,DB00847,3022,HIGH_EXACT
DRUG_000647,drugbank,DB00849,6758,HIGH_EXACT
DRUG_000648,drugbank,DB00850,8076,HIGH_EXACT
DRUG_000648,twosides,CID000004748,8076,HIGH_EXACT
DRUG_000649,drugbank,DB00851,3098,HIGH_EXACT
DRUG_000650,drugbank,DB00852,407885,HIGH_EXACT
DRUG_000651,drugbank,DB00853,37776,HIGH_EXACT
DRUG_000651,twosides,CID000005394,37776,HIGH_EXACT
DRUG_000652,drugbank,DB00854,6378,HIGH_EXACT
DRUG_000653,drugbank,DB00855,683,HIGH_EXACT
DRUG_000654,drugbank,DB00856,2399,HIGH_EXACT
DRUG_000655,drugbank,DB00857,37801,HIGH_EXACT
DRUG_000655,twosides,CID000005402,37801,HIGH_EXACT
DRUG_000656,drugbank,DB00859,7975,HIGH_EXACT
DRUG_000656,twosides,CID000004727,7975,HIGH_EXACT
DRUG_000657,drugbank,DB00860,8638,HIGH_EXACT
DRUG_000657,twosides,CID000004894,8638,HIGH_EXACT
DRUG_000658,drugbank,DB00861,3393,HIGH_EXACT
DRUG_000658,twosides,CID000003059,3393,HIGH_EXACT
DRUG_000659,drugbank,DB00862,306674,HIGH_EXACT
DRUG_000659,twosides,CID000110634,306674,HIGH_EXACT
DRUG_000660,drugbank,DB00863,9143,HIGH_EXACT
DRUG_000660,twosides,CID000005039,9143,HIGH_EXACT
DRUG_000661,drugbank,DB00864,235991,HIGH_EXACT
DRUG_000661,twosides,CID000005372,,UNRESOLVED
DRUG_000662,drugbank,DB00865,1422,HIGH_EXACT
DRUG_000663,drugbank,DB00866,597,HIGH_EXACT
DRUG_000664,drugbank,DB00867,9392,HIGH_EXACT
DRUG_000665,drugbank,DB00869,60207,HIGH_EXACT
DRUG_000665,twosides,CID000003154,60207,HIGH_EXACT
DRUG_000666,drugbank,DB00870,10255,HIGH_EXACT
DRUG_000667,drugbank,DB00871,10368,HIGH_EXACT
DRUG_000668,drugbank,DB00872,302285,HIGH_EXACT
DRUG_000669,drugbank,DB00873,237027,HIGH_EXACT
DRUG_000670,drugbank,DB00875,4495,HIGH_EXACT
DRUG_000671,drugbank,DB00876,83515,HIGH_EXACT
DRUG_000672,drugbank,DB00877,35302,HIGH_EXACT
DRUG_000672,twosides,CID000005040,35302,HIGH_EXACT
DRUG_000673,drugbank,DB00879,276237,HIGH_EXACT
DRUG_000673,twosides,CID000060877,276237,HIGH_EXACT
DRUG_000674,drugbank,DB00880,2396,HIGH_EXACT
DRUG_000674,twosides,CID000002720,2396,HIGH_EXACT
DRUG_000675,drugbank,DB00881,35208,HIGH_EXACT
DRUG_000675,twosides,CID000005005,35208,HIGH_EXACT
DRUG_000676,drugbank,DB00882,2596,HIGH_EXACT
DRUG_000676,twosides,CID000002800,2596,HIGH_EXACT
DRUG_000677,drugbank,DB00883,6058,HIGH_EXACT
DRUG_000677,twosides,CID000003780,6058,HIGH_EXACT
DRUG_000678,drugbank,DB00884,55685,HIGH_EXACT
DRUG_000678,twosides,CID000005245,73056,HIGH_EXACT
DRUG_000679,drugbank,DB00885,19551,HIGH_EXACT
DRUG_000680,drugbank,DB00887,1808,HIGH_EXACT
DRUG_000680,twosides,CID000002471,1808,HIGH_EXACT
DRUG_000681,drugbank,DB00888,6674,HIGH_EXACT
DRUG_000682,drugbank,DB00889,26237,HIGH_EXACT
DRUG_000682,twosides,CID000003510,26237,HIGH_EXACT
DRUG_000683,drugbank,DB00890,3368,HIGH_EXACT
DRUG_000684,drugbank,DB00891,10188,HIGH_EXACT
DRUG_000685,drugbank,DB00892,18889,HIGH_EXACT
DRUG_000686,drugbank,DB00894,10378,HIGH_EXACT
DRUG_000687,drugbank,DB00896,55681,HIGH_EXACT
DRUG_000688,drugbank,DB00897,10767,HIGH_EXACT
DRUG_000688,twosides,CID000005556,10767,HIGH_EXACT
DRUG_000689,drugbank,DB00898,1310469,HIGH_EXACT
DRUG_000690,drugbank,DB00899,73032,HIGH_EXACT
DRUG_000690,twosides,CID000060815,73032,HIGH_EXACT
DRUG_000691,drugbank,DB00900,3364,HIGH_EXACT
DRUG_000691,twosides,CID000003043,3364,HIGH_EXACT
DRUG_000692,drugbank,DB00903,4109,HIGH_EXACT
DRUG_000692,twosides,CID000003278,4109,HIGH_EXACT
DRUG_000693,drugbank,DB00904,26225,HIGH_EXACT
DRUG_000693,twosides,CID000004595,26225,HIGH_EXACT
DRUG_000694,drugbank,DB00905,283810,HIGH_EXACT
DRUG_000694,twosides,CID005311027,283810,HIGH_EXACT
DRUG_000695,drugbank,DB00906,31914,HIGH_EXACT
DRUG_000695,twosides,CID000005466,31914,HIGH_EXACT
DRUG_000696,drugbank,DB00907,2653,HIGH_EXACT
DRUG_000697,drugbank,DB00909,39998,HIGH_EXACT
DRUG_000697,twosides,CID000005734,39998,HIGH_EXACT
DRUG_000698,drugbank,DB00910,73710,HIGH_EXACT
DRUG_000698,twosides,CID005281104,73710,HIGH_EXACT
DRUG_000699,drugbank,DB00911,10612,HIGH_EXACT
DRUG_000700,drugbank,DB00912,73044,HIGH_EXACT
DRUG_000700,twosides,CID000004547,73044,HIGH_EXACT
DRUG_000701,drugbank,DB00914,8129,HIGH_EXACT
DRUG_000702,drugbank,DB00915,620,HIGH_EXACT
DRUG_000702,twosides,CID000002130,620,HIGH_EXACT
DRUG_000703,drugbank,DB00916,6922,HIGH_EXACT
DRUG_000703,twosides,CID000004173,6922,HIGH_EXACT
DRUG_000704,drugbank,DB00917,3478,HIGH_EXACT
DRUG_000704,twosides,CID000000158,3478,HIGH_EXACT
DRUG_000705,drugbank,DB00918,279645,HIGH_EXACT
DRUG_000705,twosides,CID000123606,279645,HIGH_EXACT
DRUG_000706,drugbank,DB00919,270,HIGH_EXACT
DRUG_000707,drugbank,DB00920,6146,HIGH_EXACT
DRUG_000707,twosides,CID000003827,6146,HIGH_EXACT
DRUG_000708,drugbank,DB00921,1819,HIGH_EXACT
DRUG_000708,twosides,CID000002476,1819,HIGH_EXACT
DRUG_000709,drugbank,DB00922,73107,HIGH_EXACT
DRUG_000710,drugbank,DB00923,20486,HIGH_EXACT
DRUG_000711,drugbank,DB00924,21949,HIGH_EXACT
DRUG_000711,twosides,CID000002895,21949,HIGH_EXACT
DRUG_000712,drugbank,DB00925,8149,HIGH_EXACT
DRUG_000713,drugbank,DB00927,4278,HIGH_EXACT
DRUG_000713,twosides,CID000003325,4278,HIGH_EXACT
DRUG_000714,drugbank,DB00928,1251,HIGH_EXACT
DRUG_000715,drugbank,DB00929,42331,HIGH_EXACT
DRUG_000715,twosides,CID004183806,42331,HIGH_EXACT
DRUG_000716,drugbank,DB00931,6812,HIGH_EXACT
DRUG_000717,drugbank,DB00932,190548,HIGH_EXACT
DRUG_000718,drugbank,DB00933,6779,HIGH_EXACT
DRUG_000719,drugbank,DB00934,6646,HIGH_EXACT
DRUG_000719,twosides,CID000004011,6646,HIGH_EXACT
DRUG_000720,drugbank,DB00935,7812,HIGH_EXACT
DRUG_000721,drugbank,DB00936,9525,HIGH_EXACT
DRUG_000722,drugbank,DB00937,3389,HIGH_EXACT
DRUG_000723,drugbank,DB00938,36117,HIGH_EXACT
DRUG_000723,twosides,CID000005152,36117,HIGH_EXACT
DRUG_000724,drugbank,DB00939,588003,HIGH_EXACT
DRUG_000725,drugbank,DB00940,6821,HIGH_EXACT
DRUG_000726,drugbank,DB00943,3363,HIGH_EXACT
DRUG_000727,drugbank,DB00944,107771,HIGH_EXACT
DRUG_000728,drugbank,DB00945,1191,HIGH_EXACT
DRUG_000728,twosides,CID000002244,1191,HIGH_EXACT
DRUG_000729,drugbank,DB00946,8150,HIGH_EXACT
DRUG_000730,drugbank,DB00947,282357,HIGH_EXACT
DRUG_000730,twosides,CID000104741,282357,HIGH_EXACT
DRUG_000731,drugbank,DB00948,6927,HIGH_EXACT
DRUG_000732,drugbank,DB00949,24812,HIGH_EXACT
DRUG_000733,drugbank,DB00950,87636,HIGH_EXACT
DRUG_000733,twosides,CID000003348,87636,HIGH_EXACT
DRUG_000734,drugbank,DB00951,6038,HIGH_EXACT
DRUG_000734,twosides,CID000003767,6038,HIGH_EXACT
DRUG_000735,drugbank,DB00952,141366,HIGH_EXACT
DRUG_000735,twosides,CID000004440,141366,HIGH_EXACT
DRUG_000736,drugbank,DB00953,88014,HIGH_EXACT
DRUG_000736,twosides,CID000005078,88014,HIGH_EXACT
DRUG_000737,drugbank,DB00954,23437,HIGH_EXACT
DRUG_000738,drugbank,DB00955,7337,HIGH_EXACT
DRUG_000739,drugbank,DB00956,221107,HIGH_EXACT
DRUG_000740,drugbank,DB00957,31994,HIGH_EXACT
DRUG_000741,drugbank,DB00958,40048,HIGH_EXACT
DRUG_000742,drugbank,DB00959,6902,HIGH_EXACT
DRUG_000742,twosides,CID000004159,6902,HIGH_EXACT
DRUG_000743,drugbank,DB00960,8332,HIGH_EXACT
DRUG_000743,twosides,CID000004828,8332,HIGH_EXACT
DRUG_000744,drugbank,DB00961,6759,HIGH_EXACT
DRUG_000745,drugbank,DB00962,74667,HIGH_EXACT
DRUG_000745,twosides,CID000005719,74667,HIGH_EXACT
DRUG_000746,drugbank,DB00963,19737,HIGH_EXACT
DRUG_000747,drugbank,DB00964,14845,HIGH_EXACT
DRUG_000748,drugbank,DB00966,73494,HIGH_EXACT
DRUG_000748,twosides,CID000065999,73494,HIGH_EXACT
DRUG_000749,drugbank,DB00967,275635,HIGH_EXACT
DRUG_000749,twosides,CID000124087,275635,HIGH_EXACT
DRUG_000750,drugbank,DB00968,1545996,HIGH_EXACT
DRUG_000750,twosides,CID000004138,,UNRESOLVED
DRUG_000751,drugbank,DB00969,85248,HIGH_EXACT
DRUG_000751,twosides,CID000002099,85248,HIGH_EXACT
DRUG_000752,drugbank,DB00970,3100,HIGH_EXACT
DRUG_000752,twosides,CID000002019,3100,HIGH_EXACT
DRUG_000753,drugbank,DB00972,18603,HIGH_EXACT
DRUG_000753,twosides,CID000002267,18603,HIGH_EXACT
DRUG_000754,drugbank,DB00973,341248,HIGH_EXACT
DRUG_000754,twosides,CID000150311,341248,HIGH_EXACT
DRUG_000755,drugbank,DB00974,1370600,HIGH_EXACT
DRUG_000756,drugbank,DB00975,3521,HIGH_EXACT
DRUG_000756,twosides,CID000003108,3521,HIGH_EXACT
DRUG_000757,drugbank,DB00976,274786,HIGH_EXACT
DRUG_000757,twosides,CID003002190,274786,HIGH_EXACT
DRUG_000758,drugbank,DB00977,4124,HIGH_EXACT
DRUG_000759,drugbank,DB00978,28872,HIGH_EXACT
DRUG_000760,drugbank,DB00979,3001,HIGH_EXACT
DRUG_000761,drugbank,DB00980,596205,HIGH_EXACT
DRUG_000762,drugbank,DB00981,8299,HIGH_EXACT
DRUG_000763,drugbank,DB00983,25255,HIGH_EXACT
DRUG_000764,drugbank,DB01274,304962,HIGH_EXACT
DRUG_000765,twosides,CID000003410,25255,HIGH_EXACT
DRUG_000766,drugbank,DB00985,3444,HIGH_EXACT
DRUG_000767,drugbank,DB00986,1546438,HIGH_EXACT
DRUG_000767,twosides,CID000003494,1546438,HIGH_EXACT
DRUG_000768,drugbank,DB00987,3041,HIGH_EXACT
DRUG_000768,twosides,CID000000596,,UNRESOLVED
DRUG_000769,drugbank,DB00988,3628,HIGH_EXACT
DRUG_000770,drugbank,DB00989,183379,HIGH_EXACT
DRUG_000770,twosides,CID000005077,183379,HIGH_EXACT
DRUG_000771,drugbank,DB00990,258494,HIGH_EXACT
DRUG_000771,twosides,CID000060198,258494,HIGH_EXACT
DRUG_000772,drugbank,DB00991,32613,HIGH_EXACT
DRUG_000772,twosides,CID000004614,32613,HIGH_EXACT
DRUG_000773,drugbank,DB00992,337068,HIGH_EXACT
DRUG_000774,drugbank,DB00993,1256,HIGH_EXACT
DRUG_000774,twosides,CID000002265,1256,HIGH_EXACT
DRUG_000775,drugbank,DB00996,25480,HIGH_EXACT
DRUG_000775,twosides,CID000003446,25480,HIGH_EXACT
DRUG_000776,drugbank,DB00997,142433,HIGH_EXACT
DRUG_000777,drugbank,DB00998,228783,HIGH_EXACT
DRUG_000777,twosides,CID000077992,228783,HIGH_EXACT
DRUG_000778,drugbank,DB00999,5487,HIGH_EXACT
DRUG_000778,twosides,CID000003639,5487,HIGH_EXACT
DRUG_000779,drugbank,DB01000,2968,HIGH_EXACT
DRUG_000780,drugbank,DB01001,435,HIGH_EXACT
DRUG_000781,drugbank,DB13139,237159,HIGH_EXACT
DRUG_000782,twosides,CID000002083,435,HIGH_EXACT
DRUG_000783,drugbank,DB01004,4678,HIGH_EXACT
DRUG_000783,twosides,CID000003454,4678,HIGH_EXACT
DRUG_000784,drugbank,DB01005,151871,HIGH_EXACT
DRUG_000784,twosides,CID000003657,5552,HIGH_EXACT
DRUG_000785,drugbank,DB01006,72965,HIGH_EXACT
DRUG_000785,twosides,CID000003902,72965,HIGH_EXACT
DRUG_000786,drugbank,DB01007,38298,HIGH_EXACT
DRUG_000786,twosides,CID000005482,38298,HIGH_EXACT
DRUG_000787,drugbank,DB01008,1828,HIGH_EXACT
DRUG_000787,twosides,CID000002478,1828,HIGH_EXACT
DRUG_000788,drugbank,DB01009,6142,HIGH_EXACT
DRUG_000789,drugbank,DB09214,237162,HIGH_EXACT
DRUG_000790,twosides,CID000003825,6142,HIGH_EXACT
DRUG_000791,drugbank,DB01010,1546421,HIGH_EXACT
DRUG_000792,drugbank,DB01011,6923,HIGH_EXACT
DRUG_000793,drugbank,DB01012,407990,HIGH_EXACT
DRUG_000793,twosides,CID000156419,407990,HIGH_EXACT
DRUG_000794,drugbank,DB01013,21245,HIGH_EXACT
DRUG_000795,drugbank,DB01014,18747,HIGH_EXACT
DRUG_000796,drugbank,DB01015,10180,HIGH_EXACT
DRUG_000797,drugbank,DB01016,4815,HIGH_EXACT
DRUG_000797,twosides,CID000003488,4815,HIGH_EXACT
DRUG_000798,drugbank,DB01017,6980,HIGH_EXACT
DRUG_000799,drugbank,DB01018,40114,HIGH_EXACT
DRUG_000800,drugbank,DB01019,19257,HIGH_EXACT
DRUG_000800,twosides,CID000002370,19257,HIGH_EXACT
DRUG_000801,drugbank,DB01020,28004,HIGH_EXACT
DRUG_000801,twosides,CID000027661,28004,HIGH_EXACT
DRUG_000802,drugbank,DB01021,10772,HIGH_EXACT
DRUG_000803,drugbank,DB01022,11258,HIGH_EXACT
DRUG_000803,twosides,CID000004812,,UNRESOLVED
DRUG_000804,drugbank,DB01023,4316,HIGH_EXACT
DRUG_000804,twosides,CID000003333,4316,HIGH_EXACT
DRUG_000805,drugbank,DB01024,265323,HIGH_EXACT
DRUG_000806,drugbank,DB01026,6135,HIGH_EXACT
DRUG_000806,twosides,CID000003823,6135,HIGH_EXACT
DRUG_000807,drugbank,DB01028,6857,HIGH_EXACT
DRUG_000808,drugbank,DB01029,83818,HIGH_EXACT
DRUG_000808,twosides,CID000003749,83818,HIGH_EXACT
DRUG_000809,drugbank,DB01030,57308,HIGH_EXACT
DRUG_000809,twosides,CID000005515,57308,HIGH_EXACT
DRUG_000810,drugbank,DB01032,8698,HIGH_EXACT
DRUG_000810,twosides,CID000004911,8698,HIGH_EXACT
DRUG_000811,drugbank,DB01033,103,HIGH_EXACT
DRUG_000811,twosides,CID000667490,103,HIGH_EXACT
DRUG_000812,drugbank,DB01034,,UNRESOLVED
DRUG_000813,drugbank,DB01035,8700,HIGH_EXACT
DRUG_000813,twosides,CID000004913,8700,HIGH_EXACT
DRUG_000814,drugbank,DB01036,119565,HIGH_EXACT
DRUG_000814,twosides,CID000005512,119565,HIGH_EXACT
DRUG_000815,drugbank,DB01037,9639,HIGH_EXACT
DRUG_000815,twosides,CID000005195,9639,HIGH_EXACT
DRUG_000816,drugbank,DB01039,8703,HIGH_EXACT
DRUG_000816,twosides,CID000003339,8703,HIGH_EXACT
DRUG_000817,drugbank,DB01041,10432,HIGH_EXACT
DRUG_000817,twosides,CID000005426,10432,HIGH_EXACT
DRUG_000818,drugbank,DB01042,6718,HIGH_EXACT
DRUG_000818,twosides,CID000004053,6718,HIGH_EXACT
DRUG_000819,drugbank,DB01043,6719,HIGH_EXACT
DRUG_000819,twosides,CID000004054,6719,HIGH_EXACT
DRUG_000820,drugbank,DB01044,1546025,HIGH_EXACT
DRUG_000820,twosides,CID000005379,228476,HIGH_EXACT
DRUG_000821,drugbank,DB01045,9384,HIGH_EXACT
DRUG_000822,drugbank,DB01046,623033,HIGH_EXACT
DRUG_000823,drugbank,DB01047,4462,HIGH_EXACT
DRUG_000823,twosides,CID000003382,4462,HIGH_EXACT
DRUG_000824,drugbank,DB01048,190521,HIGH_EXACT
DRUG_000824,twosides,CID000001971,190521,HIGH_EXACT
DRUG_000825,drugbank,DB01050,5640,HIGH_EXACT
DRUG_000825,twosides,CID000003672,5640,HIGH_EXACT
DRUG_000826,drugbank,DB01051,7538,HIGH_EXACT
DRUG_000827,drugbank,DB01053,7980,HIGH_EXACT
DRUG_000827,twosides,CID000002349,7980,HIGH_EXACT
DRUG_000828,drugbank,DB01054,7441,HIGH_EXACT
DRUG_000829,drugbank,DB01057,89778,HIGH_EXACT
DRUG_000830,drugbank,DB01058,8628,HIGH_EXACT
DRUG_000831,drugbank,DB01059,7517,HIGH_EXACT
DRUG_000831,twosides,CID000004539,7517,HIGH_EXACT
DRUG_000832,drugbank,DB01060,1297882,HIGH_EXACT
DRUG_000832,twosides,CID000002171,,UNRESOLVED
DRUG_000833,drugbank,DB01061,1266,HIGH_EXACT
DRUG_000834,drugbank,DB01062,32675,HIGH_EXACT
DRUG_000834,twosides,CID000004634,32675,HIGH_EXACT
DRUG_000835,drugbank,DB01063,16735,HIGH_EXACT
DRUG_000836,drugbank,DB01064,6054,HIGH_EXACT
DRUG_000837,drugbank,DB01065,6711,HIGH_EXACT
DRUG_000838,drugbank,DB01066,83682,HIGH_EXACT
DRUG_000838,twosides,CID009571074,83682,HIGH_EXACT
DRUG_000839,drugbank,DB01067,4821,HIGH_EXACT
DRUG_000839,twosides,CID000003478,4821,HIGH_EXACT
DRUG_000840,drugbank,DB01068,2598,HIGH_EXACT
DRUG_000840,twosides,CID000002802,2598,HIGH_EXACT
DRUG_000841,drugbank,DB01069,8745,HIGH_EXACT
DRUG_000841,twosides,CID000004927,8745,HIGH_EXACT
DRUG_000842,drugbank,DB01070,3429,HIGH_EXACT
DRUG_000843,drugbank,DB01071,29528,HIGH_EXACT
DRUG_000844,drugbank,DB01072,343047,HIGH_EXACT
DRUG_000844,twosides,CID000148192,343047,HIGH_EXACT
DRUG_000845,drugbank,DB01073,24698,HIGH_EXACT
DRUG_000845,twosides,CID000003367,24698,HIGH_EXACT
DRUG_000846,drugbank,DB01074,8050,HIGH_EXACT
DRUG_000847,drugbank,DB01075,3498,HIGH_EXACT
DRUG_000848,drugbank,DB01076,83367,HIGH_EXACT
DRUG_000848,twosides,CID000002250,83367,HIGH_EXACT
DRUG_000849,drugbank,DB01077,1356715,HIGH_EXACT
DRUG_000849,twosides,CID000003305,1356715,HIGH_EXACT
DRUG_000850,drugbank,DB01078,3248,HIGH_EXACT
DRUG_000851,drugbank,DB01080,14851,HIGH_EXACT
DRUG_000852,drugbank,DB01081,3500,HIGH_EXACT
DRUG_000853,drugbank,DB01082,10109,HIGH_EXACT
DRUG_000854,drugbank,DB01083,37925,HIGH_EXACT
DRUG_000854,twosides,CID000004599,37925,HIGH_EXACT
DRUG_000855,drugbank,DB01084,28144,HIGH_EXACT
DRUG_000856,drugbank,DB01085,8328,HIGH_EXACT
DRUG_000856,twosides,CID000004819,8328,HIGH_EXACT
DRUG_000857,drugbank,DB01086,1399,HIGH_EXACT
DRUG_000858,drugbank,DB01087,8687,HIGH_EXACT
DRUG_000859,drugbank,DB01088,40138,HIGH_EXACT
DRUG_000859,twosides,CID005311181,40138,HIGH_EXACT
DRUG_000860,drugbank,DB01089,62174,HIGH_EXACT
DRUG_000861,drugbank,DB01090,,UNRESOLVED
DRUG_000862,drugbank,DB01091,47461,HIGH_EXACT
DRUG_000863,drugbank,DB01092,7762,HIGH_EXACT
DRUG_000864,drugbank,DB01093,3455,HIGH_EXACT
DRUG_000865,drugbank,DB01094,1314255,HIGH_EXACT
DRUG_000866,drugbank,DB01095,41127,HIGH_EXACT
DRUG_000866,twosides,CID000003403,41127,HIGH_EXACT
DRUG_000867,drugbank,DB01096,7778,HIGH_EXACT
DRUG_000868,drugbank,DB01097,27169,HIGH_EXACT
DRUG_000868,twosides,CID000003899,27169,HIGH_EXACT
DRUG_000869,drugbank,DB01098,301542,HIGH_EXACT
DRUG_000870,drugbank,DB01099,4451,HIGH_EXACT
DRUG_000871,drugbank,DB01100,8331,HIGH_EXACT
DRUG_000872,drugbank,DB01101,194000,HIGH_EXACT
DRUG_000872,twosides,CID000060953,194000,HIGH_EXACT
DRUG_000873,drugbank,DB01102,61609,HIGH_EXACT
DRUG_000874,drugbank,DB01103,9061,HIGH_EXACT
DRUG_000875,drugbank,DB01104,36437,HIGH_EXACT
DRUG_000875,twosides,CID000005203,36437,HIGH_EXACT
DRUG_000876,drugbank,DB01105,36514,HIGH_EXACT
DRUG_000876,twosides,CID000005210,36514,HIGH_EXACT
DRUG_000877,drugbank,DB01106,28627,HIGH_EXACT
DRUG_000878,drugbank,DB01107,6910,HIGH_EXACT
DRUG_000879,drugbank,DB01108,38668,HIGH_EXACT
DRUG_000880,drugbank,DB01110,6932,HIGH_EXACT
DRUG_000880,twosides,CID000004189,6932,HIGH_EXACT
DRUG_000881,drugbank,DB01111,2708,HIGH_EXACT
DRUG_000882,drugbank,DB01112,2194,HIGH_EXACT
DRUG_000883,drugbank,DB01113,7895,HIGH_EXACT
DRUG_000884,drugbank,DB01114,221074,HIGH_EXACT
DRUG_000884,twosides,CID000002725,,UNRESOLVED
DRUG_000885,drugbank,DB01115,7417,HIGH_EXACT
DRUG_000885,twosides,CID000004485,7417,HIGH_EXACT
DRUG_000886,drugbank,DB01116,10828,HIGH_EXACT
DRUG_000887,drugbank,DB01117,60212,HIGH_EXACT
DRUG_000888,drugbank,DB01118,703,HIGH_EXACT
DRUG_000889,drugbank,DB01119,3327,HIGH_EXACT
DRUG_000890,drugbank,DB01120,4816,HIGH_EXACT
DRUG_000891,drugbank,DB01121,33253,HIGH_EXACT
DRUG_000892,drugbank,DB01122,623,HIGH_EXACT
DRUG_000893,drugbank,DB01124,10635,HIGH_EXACT
DRUG_000893,twosides,CID000005505,10635,HIGH_EXACT
DRUG_000894,drugbank,DB01126,228790,HIGH_EXACT
DRUG_000894,twosides,CID000152945,228790,HIGH_EXACT
DRUG_000895,drugbank,DB01127,3743,HIGH_EXACT
DRUG_000895,twosides,CID000003198,3743,HIGH_EXACT
DRUG_000896,drugbank,DB01128,83008,HIGH_EXACT
DRUG_000896,twosides,CID000002375,83008,HIGH_EXACT
DRUG_000897,drugbank,DB01129,114979,HIGH_EXACT
DRUG_000897,twosides,CID000005029,114979,HIGH_EXACT
DRUG_000898,drugbank,DB01130,34369,HIGH_EXACT
DRUG_000899,drugbank,DB01131,2382,HIGH_EXACT
DRUG_000900,drugbank,DB01132,33738,HIGH_EXACT
DRUG_000900,twosides,CID000004829,33738,HIGH_EXACT
DRUG_000901,drugbank,DB01133,11476,HIGH_EXACT
DRUG_000902,drugbank,DB01135,23651,HIGH_EXACT
DRUG_000903,drugbank,DB01136,20352,HIGH_EXACT
DRUG_000903,twosides,CID000002585,20352,HIGH_EXACT
DRUG_000904,drugbank,DB01137,1546009,HIGH_EXACT
DRUG_000905,drugbank,DB01165,7623,HIGH_EXACT
DRUG_000906,twosides,CID000004583,7623,HIGH_EXACT
DRUG_000907,drugbank,DB01138,10205,HIGH_EXACT
DRUG_000908,drugbank,DB01139,2238,HIGH_EXACT
DRUG_000909,drugbank,DB01140,1545975,HIGH_EXACT
DRUG_000909,twosides,CID000002610,,UNRESOLVED
DRUG_000910,drugbank,DB01141,325887,HIGH_EXACT
DRUG_000911,drugbank,DB01142,3638,HIGH_EXACT
DRUG_000911,twosides,CID000003158,3638,HIGH_EXACT
DRUG_000912,drugbank,DB01143,1545987,HIGH_EXACT
DRUG_000912,twosides,CID000002141,4126,HIGH_EXACT
DRUG_000913,drugbank,DB01144,3353,HIGH_EXACT
DRUG_000914,drugbank,DB01147,2625,HIGH_EXACT
DRUG_000915,drugbank,DB01149,31565,HIGH_EXACT
DRUG_000915,twosides,CID000004449,31565,HIGH_EXACT
DRUG_000916,drugbank,DB01150,1546020,HIGH_EXACT
DRUG_000916,twosides,CID000002646,,UNRESOLVED
DRUG_000917,drugbank,DB01151,3247,HIGH_EXACT
DRUG_000917,twosides,CID000002995,3247,HIGH_EXACT
DRUG_000918,drugbank,DB01153,36435,HIGH_EXACT
DRUG_000919,drugbank,DB01154,10464,HIGH_EXACT
DRUG_000920,drugbank,DB01155,138099,HIGH_EXACT
